id	family	renderer	base_raw_h2	base_raw_direction	base_raw_refused	base_reader_h2	base_reader_direction	base_reader_refused	head_raw_h2	head_raw_direction	head_raw_refused	head_reader_h2	head_reader_direction	head_reader_refused
T-opening-U3000	type1-character	0	0	AGREE	True	0	AGREE	True	0	AGREE	True	0	AGREE	True
N-opening-pre-pre	type1-name	1	1	AGREE	False	1	AGREE	False	1	AGREE	False	1	AGREE	False
N-opening-pre-PRE	type1-name	1	1	AGREE	False	1	AGREE	False	1	AGREE	False	1	AGREE	False
N-opening-pre-script	type1-name	1	0	WITHHOLD	False	0	WITHHOLD	False	1	AGREE	False	1	AGREE	False
N-opening-pre-SCRIPT	type1-name	1	0	WITHHOLD	False	0	WITHHOLD	False	1	AGREE	False	1	AGREE	False
N-opening-pre-style	type1-name	1	0	WITHHOLD	False	0	WITHHOLD	False	1	AGREE	False	1	AGREE	False
N-opening-pre-STYLE	type1-name	1	0	WITHHOLD	False	0	WITHHOLD	False	1	AGREE	False	1	AGREE	False
N-opening-pre-textarea	type1-name	1	0	WITHHOLD	False	0	WITHHOLD	False	1	AGREE	False	1	AGREE	False
N-opening-pre-TEXTAREA	type1-name	1	0	WITHHOLD	False	0	WITHHOLD	False	1	AGREE	False	1	AGREE	False
N-opening-script-pre	type1-name	1	0	WITHHOLD	False	0	WITHHOLD	False	1	AGREE	False	1	AGREE	False
N-opening-script-PRE	type1-name	1	0	WITHHOLD	False	0	WITHHOLD	False	1	AGREE	False	1	AGREE	False
N-opening-script-script	type1-name	1	1	AGREE	False	1	AGREE	False	1	AGREE	False	1	AGREE	False
N-opening-script-SCRIPT	type1-name	1	1	AGREE	False	1	AGREE	False	1	AGREE	False	1	AGREE	False
N-opening-script-style	type1-name	1	0	WITHHOLD	False	0	WITHHOLD	False	1	AGREE	False	1	AGREE	False
N-opening-script-STYLE	type1-name	1	0	WITHHOLD	False	0	WITHHOLD	False	1	AGREE	False	1	AGREE	False
N-opening-script-textarea	type1-name	1	0	WITHHOLD	False	0	WITHHOLD	False	1	AGREE	False	1	AGREE	False
N-opening-script-TEXTAREA	type1-name	1	0	WITHHOLD	False	0	WITHHOLD	False	1	AGREE	False	1	AGREE	False
N-opening-style-pre	type1-name	1	0	WITHHOLD	False	0	WITHHOLD	False	1	AGREE	False	1	AGREE	False
N-opening-style-PRE	type1-name	1	0	WITHHOLD	False	0	WITHHOLD	False	1	AGREE	False	1	AGREE	False
N-opening-style-script	type1-name	1	0	WITHHOLD	False	0	WITHHOLD	False	1	AGREE	False	1	AGREE	False
N-opening-style-SCRIPT	type1-name	1	0	WITHHOLD	False	0	WITHHOLD	False	1	AGREE	False	1	AGREE	False
N-opening-style-style	type1-name	1	1	AGREE	False	1	AGREE	False	1	AGREE	False	1	AGREE	False
N-opening-style-STYLE	type1-name	1	1	AGREE	False	1	AGREE	False	1	AGREE	False	1	AGREE	False
