id	family	gfm	markdown	base_raw_h2	base_raw_refused	base_raw_dir	base_reader_h2	base_reader_refused	base_reader_dir	base_shipped	base_gate_reader_same	head_raw_h2	head_raw_refused	head_raw_dir	head_reader_h2	head_reader_refused	head_reader_dir	head_shipped	head_gate_reader_same
R226-F-tl-U2028	fence-trailer	0	0	1	True	ESCAPE	1	True	ESCAPE	REFUSED	True	0	True	AGREE	0	True	AGREE	REFUSED	True
R226-F-tl-U2029	fence-trailer	0	0	1	True	ESCAPE	1	True	ESCAPE	REFUSED	True	0	True	AGREE	0	True	AGREE	REFUSED	True
R226-F-tl-U202F	fence-trailer	0	0	1	True	ESCAPE	1	True	ESCAPE	REFUSED	True	0	True	AGREE	0	True	AGREE	REFUSED	True
R226-F-tl-U205F	fence-trailer	0	0	1	True	ESCAPE	1	True	ESCAPE	REFUSED	True	0	True	AGREE	0	True	AGREE	REFUSED	True
R226-F-tl-U3000	fence-trailer	0	0	1	True	ESCAPE	1	True	ESCAPE	REFUSED	True	0	True	AGREE	0	True	AGREE	REFUSED	True
R226-F-tl-U0000	fence-trailer	0	0	0	False	AGREE	0	False	AGREE	AGREE	True	0	False	AGREE	0	False	AGREE	AGREE	True
R226-F-tl-U200B	fence-trailer	0	0	0	False	AGREE	0	False	AGREE	AGREE	True	0	False	AGREE	0	False	AGREE	AGREE	True
R226-F-tl-UFEFF	fence-trailer	0	0	0	False	AGREE	0	False	AGREE	AGREE	True	0	False	AGREE	0	False	AGREE	AGREE	True
R226-F-tl-U180E	fence-trailer	0	0	0	False	AGREE	0	False	AGREE	AGREE	True	0	False	AGREE	0	False	AGREE	AGREE	True
R226-F-tl-U2060	fence-trailer	0	0	0	False	AGREE	0	False	AGREE	AGREE	True	0	False	AGREE	0	False	AGREE	AGREE	True
R226-F-tl-x	fence-trailer	0	0	0	False	AGREE	0	False	AGREE	AGREE	True	0	False	AGREE	0	False	AGREE	AGREE	True
R226-F-tl-sp-x	fence-trailer	0	0	0	False	AGREE	0	False	AGREE	AGREE	True	0	False	AGREE	0	False	AGREE	AGREE	True
R226-F-tl-tab-x	fence-trailer	0	0	0	False	AGREE	0	False	AGREE	AGREE	True	0	False	AGREE	0	False	AGREE	AGREE	True
R226-F-tl-other	fence-trailer	0	0	0	False	AGREE	0	False	AGREE	AGREE	True	0	False	AGREE	0	False	AGREE	AGREE	True
R226-F-tl-sp-other	fence-trailer	0	0	0	False	AGREE	0	False	AGREE	AGREE	True	0	False	AGREE	0	False	AGREE	AGREE	True
R226-F-tl-sp-ff	fence-trailer	0	0	1	True	ESCAPE	1	True	ESCAPE	REFUSED	True	0	True	AGREE	0	True	AGREE	REFUSED	True
R226-F-tl-tab-nbsp	fence-trailer	0	0	1	True	ESCAPE	1	True	ESCAPE	REFUSED	True	0	True	AGREE	0	True	AGREE	REFUSED	True
R226-F-tl-longer-empty	fence-length	1	1	1	False	AGREE	1	False	AGREE	AGREE	True	1	False	AGREE	1	False	AGREE	AGREE	True
R226-F-tl-longer-sp	fence-length	1	1	1	False	AGREE	1	False	AGREE	AGREE	True	1	False	AGREE	1	False	AGREE	AGREE	True
R226-F-tl-longer-tab	fence-length	1	1	1	False	AGREE	1	False	AGREE	AGREE	True	1	False	AGREE	1	False	AGREE	AGREE	True
R226-F-tl-longer-ff	fence-length	0	0	1	True	ESCAPE	1	True	ESCAPE	REFUSED	True	0	True	AGREE	0	True	AGREE	REFUSED	True
R226-F-tl-longer-x	fence-length	0	0	0	False	AGREE	0	False	AGREE	AGREE	True	0	False	AGREE	0	False	AGREE	AGREE	True
R226-F-tl-shorter	fence-length	0	0	0	False	AGREE	0	False	AGREE	AGREE	True	0	False	AGREE	0	False	AGREE	AGREE	True
R226-F-tl-much-longer	fence-length	1	1	1	False	AGREE	1	False	AGREE	AGREE	True	1	False	AGREE	1	False	AGREE	AGREE	True
R226-F-tl-indent-1sp	fence-indent	1	1	1	False	AGREE	1	False	AGREE	AGREE	True	1	False	AGREE	1	False	AGREE	AGREE	True
R226-F-tl-indent-3sp	fence-indent	1	1	1	False	AGREE	1	False	AGREE	AGREE	True	1	False	AGREE	1	False	AGREE	AGREE	True
R226-F-tl-indent-4sp	fence-indent	0	0	0	False	AGREE	0	False	AGREE	AGREE	True	0	False	AGREE	0	False	AGREE	AGREE	True
R226-F-tl-indent-tab	fence-indent	0	0	0	False	AGREE	0	False	AGREE	AGREE	True	0	False	AGREE	0	False	AGREE	AGREE	True
R226-F-tl-indent-sp-tab	fence-indent	0	0	0	False	AGREE	0	False	AGREE	AGREE	True	0	False	AGREE	0	False	AGREE	AGREE	True
R226-F-tl-other-char	fence-kind	0	0	0	False	AGREE	0	False	AGREE	AGREE	True	0	False	AGREE	0	False	AGREE	AGREE	True
R226-F-tl-eof-heading-nolf	fence-eof	1	1	1	False	AGREE	1	False	AGREE	AGREE	True	1	False	AGREE	1	False	AGREE	AGREE	True
R226-F-tl-eof-trailer-nolf	fence-eof	1	1	1	False	AGREE	1	False	AGREE	AGREE	True	1	False	AGREE	1	False	AGREE	AGREE	True
R226-F-tl-eof-unclosed	fence-eof	0	0	0	False	AGREE	0	False	AGREE	AGREE	True	0	False	AGREE	0	False	AGREE	AGREE	True
R226-F-tl-eof-unclosed-nolf	fence-eof	0	0	0	False	AGREE	0	False	AGREE	AGREE	True	0	False	AGREE	0	False	AGREE	AGREE	True
R226-F-tl-eof-closer-after	fence-eof	0	0	0	False	AGREE	0	False	AGREE	AGREE	True	0	False	AGREE	0	False	AGREE	AGREE	True
R226-T-name-later-pre-pre	type1-name	1	1	1	False	AGREE	1	False	AGREE	AGREE	True	1	False	AGREE	1	False	AGREE	AGREE	True
R226-T-name-later-pre-pRe	type1-name	1	1	1	False	AGREE	1	False	AGREE	AGREE	True	1	False	AGREE	1	False	AGREE	AGREE	True
R226-T-name-opening-pre-pRe	type1-name	1	1	1	False	AGREE	1	False	AGREE	AGREE	True	1	False	AGREE	1	False	AGREE	AGREE	True
R226-T-name-later-pre-script	type1-name	1	1	0	False	WITHHOLD	0	False	WITHHOLD	WITHHOLD	True	1	False	AGREE	1	False	AGREE	AGREE	True
R226-T-name-later-pre-sCrIpT	type1-name	1	1	0	False	WITHHOLD	0	False	WITHHOLD	WITHHOLD	True	1	False	AGREE	1	False	AGREE	AGREE	True
R226-T-name-opening-pre-sCrIpT	type1-name	1	1	0	False	WITHHOLD	0	False	WITHHOLD	WITHHOLD	True	1	False	AGREE	1	False	AGREE	AGREE	True
R226-T-name-later-pre-style	type1-name	1	1	0	False	WITHHOLD	0	False	WITHHOLD	WITHHOLD	True	1	False	AGREE	1	False	AGREE	AGREE	True
R226-T-name-later-pre-sTyLe	type1-name	1	1	0	False	WITHHOLD	0	False	WITHHOLD	WITHHOLD	True	1	False	AGREE	1	False	AGREE	AGREE	True
R226-T-name-opening-pre-sTyLe	type1-name	1	1	0	False	WITHHOLD	0	False	WITHHOLD	WITHHOLD	True	1	False	AGREE	1	False	AGREE	AGREE	True
R226-T-name-later-pre-textarea	type1-name	1	1	0	False	WITHHOLD	0	False	WITHHOLD	WITHHOLD	True	1	False	AGREE	1	False	AGREE	AGREE	True
R226-T-name-later-pre-tExTaReA	type1-name	1	1	0	False	WITHHOLD	0	False	WITHHOLD	WITHHOLD	True	1	False	AGREE	1	False	AGREE	AGREE	True
R226-T-name-opening-pre-tExTaReA	type1-name	1	1	0	False	WITHHOLD	0	False	WITHHOLD	WITHHOLD	True	1	False	AGREE	1	False	AGREE	AGREE	True
R226-T-name-later-script-pre	type1-name	1	1	0	False	WITHHOLD	0	False	WITHHOLD	WITHHOLD	True	1	False	AGREE	1	False	AGREE	AGREE	True
R226-T-name-later-script-pRe	type1-name	1	1	0	False	WITHHOLD	0	False	WITHHOLD	WITHHOLD	True	1	False	AGREE	1	False	AGREE	AGREE	True
R226-T-name-opening-script-pRe	type1-name	1	1	0	False	WITHHOLD	0	False	WITHHOLD	WITHHOLD	True	1	False	AGREE	1	False	AGREE	AGREE	True
R226-T-name-later-script-script	type1-name	1	1	1	False	AGREE	1	False	AGREE	AGREE	True	1	False	AGREE	1	False	AGREE	AGREE	True
R226-T-name-later-script-sCrIpT	type1-name	1	1	1	False	AGREE	1	False	AGREE	AGREE	True	1	False	AGREE	1	False	AGREE	AGREE	True
R226-T-name-opening-script-sCrIpT	type1-name	1	1	1	False	AGREE	1	False	AGREE	AGREE	True	1	False	AGREE	1	False	AGREE	AGREE	True
R226-T-name-later-script-style	type1-name	1	1	0	False	WITHHOLD	0	False	WITHHOLD	WITHHOLD	True	1	False	AGREE	1	False	AGREE	AGREE	True
R226-T-name-later-script-sTyLe	type1-name	1	1	0	False	WITHHOLD	0	False	WITHHOLD	WITHHOLD	True	1	False	AGREE	1	False	AGREE	AGREE	True
R226-T-name-opening-script-sTyLe	type1-name	1	1	0	False	WITHHOLD	0	False	WITHHOLD	WITHHOLD	True	1	False	AGREE	1	False	AGREE	AGREE	True
R226-T-name-later-script-textarea	type1-name	1	1	0	False	WITHHOLD	0	False	WITHHOLD	WITHHOLD	True	1	False	AGREE	1	False	AGREE	AGREE	True
R226-T-name-later-script-tExTaReA	type1-name	1	1	0	False	WITHHOLD	0	False	WITHHOLD	WITHHOLD	True	1	False	AGREE	1	False	AGREE	AGREE	True
R226-T-name-opening-script-tExTaReA	type1-name	1	1	0	False	WITHHOLD	0	False	WITHHOLD	WITHHOLD	True	1	False	AGREE	1	False	AGREE	AGREE	True
